,Comment,Sentiment Rating
0, “Seeing Kohaku and Ginro after reading the latest chapter gives me the feels”,2
1,How dare you,2
2,What's wrong with the latest chapter?,0
3,You don’t want to know.,1
4,"I mean, unless I'm behind by 1, I've read it",2
5,:,2
6,But this is the source material corner,2
7,"I'm an idiot, sorry. Reapproved.",0
8,Np,1
9,"This is the second time this happened, this IS the source material corner lol",1
10,"The problem is actually that you messed up the tag so it just shows up as a broken link, try using these """" instead of “”",0
11,"Oh I guess it’s because I typed it on mobile, it’s fine, you can remove it, I’m too lazy to change it lol",1
12,"I guess you’re removing comments based on reports, people are trolling you mods",2
13,  Original comment by u-Quatsch- | Parent commentranimecommentsd3q43ydrstoneepisode11discussionf04dil6    ---     “Seeing Kohaku and Ginro after reading the latest chapter gives me the feels”    ---     This message was posted by a bot because originally submitted  outside of the Source Material Corner. ,1
14,"Finally, ACTUAL best boy enters the scene",1
15,"Old Kaseki, A man ready to craft some good shit",1
16,This man literally only exists just to craft some high quality shit. God I fucking love Kaseki so much.,1
17,And to pose.,2
18,Nice to see that the years haven't been too rough on Machio,1
19,Yea after Machio's body building stint in the IFBB he was the first human to flex out of his stone and live humbly as a craftsmen.,2
20, He did some other side gigs I heard...      slowgrin,2
21,How to guarantee you're the first one to escape global-scale petrification don't think that's a word:   eat clean tren hard  .,1
22,  4SCOOPS  ,2
23,Rich? Is that you?,1
24,"God, I miss Rich",1
25,"I don't miss that ""one day you may"" tat. Did he ever explain that tat? ""One day you may"" what, Rich? One day we may suck on your muscly tan teet? Well not anymore, since he's...you know...dead. BUT ""one day you may"" WHAT??",1
26,"That's legitimately disgusting. He's recommending 1200 calories of shake, 2-3 times a day. Either you are well exceeding 4000 calories a day or you are going to have the worst diarhea.",0
27,Just BULK OUT of the stone.,2
28,TEST YOURSELF,2
29,and to be one of the few that doesn't get confused by Senku and is actually interested in the new stuff,1
30,"With those slightly pointed ears, Kaseki is basically just a dwarf and I love it. Would Kohaku be the elf?",1
31,"A short, sturdy creature fond of industry. Went from Minecraft to Dwarf Fortress real quick. Can't wait until they make the magma cannon.",1
32,"To be fair, if they introduce him to that wine they made in the early episodes then they might just awaken something inside him.",1
33, ,2
34,Magma cannon? That's beginner shit. If you're a real dwarf you'd go for the fully automated mermaid farm.,0
35,Just send him to fight Magma. Why train KinraJinra?,0
36,"Hell, just send him to fight Tsukasa!",0
37,"Be like ""hey, Magma. There's this guy named Tsukasa who thinks that you look like a nerd.""",1
38,I meant sending Kaseki to fight Tsukasa.    We don't want Magma near Tsukasa as then Tsukasa would quickly learn Senku's alive.,0
39,Unless Tsukasa dies first! Which is why sending Magma is a great idea,1
40,Magma stands negative chance against Tsukasa.  Remember that Tsukasa dominated Kohaku who's already beaten Magma before.,0
41,Ten billion percent chance he loses.,0
42,"Also, you know, he beat several lions...",2
43,Oh right.,2
44,"Furthermore he would quickly become the village elder and thus enforce his bizarre ideology on them since he would eat Magma for breakfast if he fought them in the ""Grand Bout"".",0
45,"Like Sanji from One Piece, his hands aren't made to use weapons, but to craft.",0
46,"The one that wins marries her, he's like 60?",1
47, SAIDO CHESTO! ,2
48, SAIDO SHIELDO! ,2
49,ONEGAI MUSCLE!,2
50,MECCHA MOTETAI,2
51,MECCHA YASETAI!,2
52,Yamete Kudasai,2
53,master roshi has entered the chat,2
54,Look at that art! wow Boichi would be proud.,1
55,Gotta give the man respect.,1
56,Mah boi Kaseki gonna build a whole goddamn empire.,0
57,Best waifu,1
58,      ,2
59,HEAR HEAR!     i was waiting for him so bad. i love the science enthusiast crew coming together.,1
60,At long last,2
61,"He’s never seen what they were doing before, and could already figure out how they were f cking up.",2
62,And getting all sorts of pissed off at them for it.    A true craftsman,0
63,"Damn right, the old dude is the boss, ready to show everyone how things are done.",0
64,BEST FRIEND,1
65,I like Senku’s capacity to bait people. It’s even more amusing to watch given he loves it.,1
66,And then he makes a scary face about how much use he's gonna get out of the people he's baited.,0
67,"Ginro: Ha-ha! In your face Kinro, I'm getting a silver spear!      Senku: So you've already accepted your payment for this mission. It will be awarded to you or your remains after it's done.    Ginro: Come again?",1
68,"     Oof, but also accurate lmao.",1
69,Conditions might apply. The condition is that your remains must be recoverable.,2
70,"I wonder what the element they are looking for, Mercury maybe?",2
71,It should be something which has wide range of applications and without it we can't progress ahead.,0
72,"If there was a series from Tsukasa's eyes, Senku would easily be bad guy material",0
73, Tsukasa is a serial killer.,0
74,"What Tsukasa is doing isn't serial killing, it's genocide, literally.    And yet, if Senku refused to even hear me out on some modifications to the new old world, I'd side with him.",1
75,"True, they would also have to make Tsukasa look MUCH better.",1
76,"Hey if it works.    Goddamn do they get the grouchy craftsman's mindset down perfectly.   That was like watching myself watching my husband in the kitchen I'm normally the cook and I cook as a hobby.  ""No no, you're doing it wrong.   No, that goes there.  Don't use metal in my nonstick pans!  Dude, it'll go a lot faster and you'll get more even pieces if you...  you know what, move, I'll do it, just stir that pot please.""",0
